Date-Time,Region,Facility,Entrance,Entries,Exits
7/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,16,1084
7/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,7,7
7/7/17 12:00 AM,UC Berkeley,NEWS Library,News,105,103
7/8/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,1,1
7/8/17 12:00 AM,UC Berkeley,DOE Library,Doe North,997,898
7/8/17 12:00 AM,UC Berkeley,DOE Library,Doe South,482,570
7/8/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,147,124
7/8/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,208,194
7/8/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/8/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/8/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,618,9
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,633
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,4,3
7/8/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/9/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/9/17 12:00 AM,UC Berkeley,DOE Library,Doe North,881,815
7/9/17 12:00 AM,UC Berkeley,DOE Library,Doe South,406,450
7/9/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,126,123
7/9/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,168,176
7/9/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/9/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/9/17 12:00 AM,UC Berkeley,EART Library,Earth South,1,0
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,797,14
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,791
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1,3
7/9/17 12:00 AM,UC Berkeley,NEWS Library,News,5,5
7/10/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,486,474
7/10/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1592,1520
7/10/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1067,1158
7/10/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,243,260
7/10/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,348,443
7/10/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/10/17 12:00 AM,UC Berkeley,EART Library,Earth North,65,87
7/10/17 12:00 AM,UC Berkeley,EART Library,Earth South,64,46
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1796,37
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,1551
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,307,498
7/10/17 12:00 AM,UC Berkeley,NEWS Library,News,83,82
7/11/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,457,445
7/11/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1476,1454
7/11/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1020,1077
7/11/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,258,268
7/11/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,278,356
7/11/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/11/17 12:00 AM,UC Berkeley,EART Library,Earth North,62,73
7/11/17 12:00 AM,UC Berkeley,EART Library,Earth South,75,64
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1633,52
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1357
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,436,629
7/11/17 12:00 AM,UC Berkeley,NEWS Library,News,115,116
7/12/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,537,512
7/12/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1542,1484
7/12/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1075,1162
7/12/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,255,270
7/12/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,308,406
7/12/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/12/17 12:00 AM,UC Berkeley,EART Library,Earth North,70,92
7/12/17 12:00 AM,UC Berkeley,EART Library,Earth South,76,56
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1676,38
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,1388
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,554,756
7/12/17 12:00 AM,UC Berkeley,NEWS Library,News,95,96
7/13/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,420,433
7/13/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1622,1618
7/13/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1032,1098
7/13/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,221,226
7/13/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,290,358
7/13/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/13/17 12:00 AM,UC Berkeley,EART Library,Earth North,87,99
7/13/17 12:00 AM,UC Berkeley,EART Library,Earth South,62,53
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1321,31
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,1126
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,446,589
7/13/17 12:00 AM,UC Berkeley,NEWS Library,News,87,86
7/14/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,533,418
7/14/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1285,1112
7/14/17 12:00 AM,UC Berkeley,DOE Library,Doe South,793,887
7/14/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,149,158
7/14/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,238,297
7/14/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/14/17 12:00 AM,UC Berkeley,EART Library,Earth North,76,83
7/14/17 12:00 AM,UC Berkeley,EART Library,Earth South,55,46
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,848,25
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,669
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,216,337
7/14/17 12:00 AM,UC Berkeley,NEWS Library,News,109,106
7/15/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/15/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1082,1003
7/15/17 12:00 AM,UC Berkeley,DOE Library,Doe South,474,537
7/15/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,105,88
7/15/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,145,140
7/15/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/15/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/15/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,421,10
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,16,355
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,172,265
7/15/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/16/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/16/17 12:00 AM,UC Berkeley,DOE Library,Doe North,923,890
7/16/17 12:00 AM,UC Berkeley,DOE Library,Doe South,495,536
7/16/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,109,110
7/16/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,118,140
7/16/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/16/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/16/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,537,10
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,428
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,187,311
7/16/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/17/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,537,463
7/17/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1679,1557
7/17/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1071,1121
7/17/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,267,270
7/17/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,330,396
7/17/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/17/17 12:00 AM,UC Berkeley,EART Library,Earth North,78,83
7/17/17 12:00 AM,UC Berkeley,EART Library,Earth South,50,45
7/17/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1577,34
7/17/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,14,1337
7/17/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,581,782
7/17/17 12:00 AM,UC Berkeley,NEWS Library,News,105,104
7/18/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,549,574
7/18/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1553,1561
7/18/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1145,1190
7/18/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,310,293
7/18/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,332,379
7/18/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/18/17 12:00 AM,UC Berkeley,EART Library,Earth North,76,104
7/18/17 12:00 AM,UC Berkeley,EART Library,Earth South,80,53
7/18/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1614,34
7/18/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,14,1370
7/18/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,696,900
7/18/17 12:00 AM,UC Berkeley,NEWS Library,News,102,105
7/19/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,468,444
7/19/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1451,1427
7/19/17 12:00 AM,UC Berkeley,DOE Library,Doe South,976,1045
7/19/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,262,279
7/19/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,330,415
7/19/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/19/17 12:00 AM,UC Berkeley,EART Library,Earth North,71,91
7/19/17 12:00 AM,UC Berkeley,EART Library,Earth South,74,53
7/19/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1592,35
7/19/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1245
7/19/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,776,1029
7/19/17 12:00 AM,UC Berkeley,NEWS Library,News,73,73
7/20/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,532,469
7/20/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1518,1431
7/20/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1065,1126
7/20/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,238,234
7/20/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,314,377
7/20/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/20/17 12:00 AM,UC Berkeley,EART Library,Earth North,95,85
7/20/17 12:00 AM,UC Berkeley,EART Library,Earth South,77,81
7/20/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1452,37
7/20/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1184
7/20/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,651,860
7/20/17 12:00 AM,UC Berkeley,NEWS Library,News,83,84
7/21/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,561,465
7/21/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1409,1295
7/21/17 12:00 AM,UC Berkeley,DOE Library,Doe South,862,916
7/21/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,154,158
7/21/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,257,308
7/21/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/21/17 12:00 AM,UC Berkeley,EART Library,Earth North,43,43
7/21/17 12:00 AM,UC Berkeley,EART Library,Earth South,43,48
7/21/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,830,34
7/21/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,20,673
7/21/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,384,493
7/21/17 12:00 AM,UC Berkeley,NEWS Library,News,89,83
7/22/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,11,11
7/22/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1378,1186
7/22/17 12:00 AM,UC Berkeley,DOE Library,Doe South,465,626
7/22/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,98,94
7/22/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,135,134
7/22/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/22/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/22/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/22/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,471,12
7/22/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,11,336
7/22/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,256,382
7/22/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/23/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/23/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1015,883
7/23/17 12:00 AM,UC Berkeley,DOE Library,Doe South,503,611
7/23/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,161,155
7/23/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,164,156
7/23/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/23/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/23/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/23/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,657,14
7/23/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,16,507
7/23/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,331,496
7/23/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/24/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,530,564
7/24/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1720,1743
7/24/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1084,1156
7/24/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,296,295
7/24/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,354,413
7/24/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/24/17 12:00 AM,UC Berkeley,EART Library,Earth North,55,59
7/24/17 12:00 AM,UC Berkeley,EART Library,Earth South,70,63
7/24/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1485,29
7/24/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,19,1242
7/24/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,708,915
7/24/17 12:00 AM,UC Berkeley,NEWS Library,News,77,76
7/25/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,603,581
7/25/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1610,1555
7/25/17 12:00 AM,UC Berkeley,DOE Library,Doe South,990,1044
7/25/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,327,310
7/25/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,341,389
7/25/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/25/17 12:00 AM,UC Berkeley,EART Library,Earth North,56,57
7/25/17 12:00 AM,UC Berkeley,EART Library,Earth South,54,57
7/25/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1441,40
7/25/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,1186
7/25/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,713,927
7/25/17 12:00 AM,UC Berkeley,NEWS Library,News,105,108
7/26/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,524,492
7/26/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1821,1742
7/26/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1033,1116
7/26/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,303,334
7/26/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,358,451
7/26/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/26/17 12:00 AM,UC Berkeley,EART Library,Earth North,45,51
7/26/17 12:00 AM,UC Berkeley,EART Library,Earth South,59,53
7/26/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1637,37
7/26/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,1314
7/26/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,870,1099
7/26/17 12:00 AM,UC Berkeley,NEWS Library,News,109,105
7/27/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,523,482
7/27/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1655,1561
7/27/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1028,1099
7/27/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,254,247
7/27/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,293,363
7/27/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/27/17 12:00 AM,UC Berkeley,EART Library,Earth North,35,42
7/27/17 12:00 AM,UC Berkeley,EART Library,Earth South,41,34
7/27/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1357,31
7/27/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,24,1091
7/27/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,658,891
7/27/17 12:00 AM,UC Berkeley,NEWS Library,News,95,105
7/28/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,490,435
7/28/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1422,1252
7/28/17 12:00 AM,UC Berkeley,DOE Library,Doe South,850,971
7/28/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,176,170
7/28/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,241,288
7/28/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/28/17 12:00 AM,UC Berkeley,EART Library,Earth North,44,48
7/28/17 12:00 AM,UC Berkeley,EART Library,Earth South,46,42
7/28/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,748,29
7/28/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,593
7/28/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,431,546
7/28/17 12:00 AM,UC Berkeley,NEWS Library,News,104,100
7/29/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,8,8
7/29/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1339,1301
7/29/17 12:00 AM,UC Berkeley,DOE Library,Doe South,571,608
7/29/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,103,90
7/29/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,156,146
7/29/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/29/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/29/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/29/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,371,10
7/29/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,293
7/29/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,189,282
7/29/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/30/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,10,10
7/30/17 12:00 AM,UC Berkeley,DOE Library,Doe North,990,837
7/30/17 12:00 AM,UC Berkeley,DOE Library,Doe South,430,580
7/30/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,150,150
7/30/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,169,173
7/30/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/30/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/30/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/30/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,656,26
7/30/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,9,550
7/30/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,254,353
7/30/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/31/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,602,547
7/31/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1677,1599
7/31/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1093,1138
7/31/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,283,281
7/31/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,330,381
7/31/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/31/17 12:00 AM,UC Berkeley,EART Library,Earth North,53,52
7/31/17 12:00 AM,UC Berkeley,EART Library,Earth South,62,61
7/31/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1425,44
